date,open,high,low,close,volume,dividend_amount
2005-01-03,515.0,522.0,514.5,515.95,185968.0,0.0
2005-01-04,517.55,525.9,516.55,521.9,925352.0,0.0
2005-01-05,523.55,524.0,489.0,504.55,456880.0,0.0
2005-01-06,500.05,507.0,493.0,502.15,620792.0,0.0
2005-01-07,502.0,502.0,494.05,497.15,525952.0,0.0
2005-01-10,500.0,500.0,486.4,491.3,238344.0,0.0
2005-01-11,493.0,493.0,482.15,486.05,253912.0,0.0
2005-01-12,488.0,488.0,465.0,469.0,334200.0,0.0
2005-01-13,475.0,475.6,460.0,462.6,1314744.0,0.0
2005-01-14,475.0,475.0,450.0,451.45,682624.0,0.0
2005-01-17,460.0,460.0,443.1,446.15,1766624.0,0.0
2005-01-18,455.0,457.8,448.0,449.3,313680.0,0.0
2005-01-19,453.5,453.8,445.1,446.35,128392.0,0.0
2005-01-20,445.45,448.0,440.0,442.35,165848.0,0.0
2005-01-24,444.0,446.1,435.0,436.5,427496.0,0.0
2005-01-25,434.1,442.15,434.0,438.3,223488.0,0.0
2005-01-27,443.5,445.0,433.0,435.35,1089336.0,0.0
2005-01-28,440.0,452.05,437.5,442.6,3514336.0,0.0
2005-01-31,449.0,465.4,449.0,454.5,6248584.0,0.0
2005-02-01,457.0,468.0,447.15,465.45,3262400.0,0.0
2005-02-02,470.0,472.5,463.5,468.55,891624.0,0.0
2005-02-03,461.5,477.8,461.5,475.4,772288.0,0.0
2005-02-04,477.75,484.9,468.5,471.5,395192.0,0.0
2005-02-07,475.0,482.6,468.0,471.8,813712.0,0.0
2005-02-08,481.75,487.85,473.55,483.95,3458832.0,0.0
2005-02-09,488.75,494.0,480.0,484.3,574040.0,0.0
2005-02-10,494.0,494.0,483.5,489.45,853840.0,0.0
2005-02-11,493.8,493.8,485.0,488.25,1222888.0,0.0
2005-02-14,492.0,495.0,488.7,492.4,540272.0,0.0
2005-02-15,480.0,491.0,460.0,489.5,211520.0,0.0
2005-02-16,490.0,493.5,486.0,487.85,999728.0,0.0
2005-02-17,482.0,482.0,474.6,478.55,275392.0,0.0
2005-02-18,478.0,482.0,475.0,477.8,383304.0,0.0
2005-02-21,478.0,481.0,465.0,470.35,278064.0,0.0
2005-02-22,464.6,468.35,463.05,465.2,179032.0,0.0
2005-02-23,464.95,464.95,455.0,461.7,478336.0,0.0
2005-02-24,470.0,475.0,467.0,470.75,327136.0,0.0
2005-02-25,465.0,490.0,465.0,485.3,1702768.0,0.0
2005-02-28,495.0,519.7,485.0,491.45,2742136.0,0.0
2005-03-01,489.0,489.0,463.0,468.05,2473008.0,0.0
2005-03-02,470.0,474.8,460.0,465.0,1536336.0,0.0
2005-03-03,462.9,474.3,461.3,473.35,786176.0,0.0
2005-03-04,474.65,495.0,474.65,490.25,3267888.0,0.0
2005-03-07,497.0,498.5,482.3,486.05,2558056.0,0.0
2005-03-08,485.0,489.95,481.0,484.85,947240.0,0.0
2005-03-09,485.0,486.85,477.1,480.75,590640.0,0.0
2005-03-10,483.05,484.85,474.55,476.5,624128.0,0.0
2005-03-11,482.9,483.0,475.1,477.6,854096.0,0.0
2005-03-14,471.0,479.0,471.0,474.95,1087096.0,0.0
2005-03-15,474.95,480.0,474.0,475.45,459976.0,0.0
2005-03-16,478.0,483.0,472.15,476.2,624736.0,0.0
2005-03-17,450.0,474.9,450.0,468.0,259424.0,0.0
2005-03-18,465.0,470.0,461.0,466.5,591920.0,0.0
2005-03-21,475.0,475.0,457.0,459.55,1429184.0,0.0
2005-03-22,459.45,463.0,448.35,449.2,891656.0,0.0
2005-03-23,446.55,452.0,435.0,437.25,1945904.0,0.0
2005-03-24,439.5,443.0,422.15,431.5,3025160.0,0.0
2005-03-28,439.2,439.2,429.1,431.6,430360.0,0.0
2005-03-29,435.0,435.0,421.2,425.65,278288.0,0.0
2005-03-30,424.0,427.5,421.0,424.55,188520.0,0.0
2005-03-31,430.05,440.0,428.0,438.55,759864.0,0.0
2005-04-01,432.0,452.7,428.25,449.25,342560.0,0.0
2005-04-04,447.0,447.0,434.05,441.15,185176.0,0.0
2005-04-05,442.0,449.7,438.0,443.15,554136.0,0.0
2005-04-06,451.0,455.0,447.25,452.8,343072.0,0.0
2005-04-07,453.5,460.0,448.05,453.25,388976.0,0.0
2005-04-08,454.25,460.0,445.55,455.0,517888.0,0.0
2005-04-11,459.5,459.5,448.1,452.7,333976.0,0.0
2005-04-12,451.05,451.9,447.0,450.45,55592.0,0.0
2005-04-13,455.9,457.0,448.15,449.2,51656.0,0.0
2005-04-15,449.3,449.3,441.0,443.4,224680.0,0.0
2005-04-18,432.1,452.9,430.25,450.05,501200.0,0.0
2005-04-19,458.0,458.0,443.0,445.95,636392.0,0.0
2005-04-20,445.35,447.9,438.0,440.8,73880.0,0.0
2005-04-21,441.0,445.0,438.0,443.1,130976.0,0.0
2005-04-22,450.0,450.0,441.75,442.3,118568.0,0.0
2005-04-25,445.0,454.0,439.55,450.75,112224.0,0.0
2005-04-26,452.0,455.75,447.0,449.65,363744.0,0.0
2005-04-27,444.5,456.0,444.5,452.05,139640.0,0.0
2005-04-28,451.95,451.95,440.05,444.0,137784.0,0.0
2005-04-29,450.0,450.0,436.0,438.65,255896.0,0.0
2005-05-02,440.0,452.0,440.0,449.2,135472.0,0.0
2005-05-03,447.0,450.0,441.25,442.55,136256.0,0.0
2005-05-04,443.0,449.9,442.05,447.25,58056.0,0.0
2005-05-05,449.0,453.0,446.15,448.1,129872.0,0.0
2005-05-06,450.9,459.0,447.05,454.75,298744.0,0.0
2005-05-09,459.75,463.0,457.0,458.8,293064.0,0.0
2005-05-10,455.9,456.0,444.0,447.65,641808.0,0.0
2005-05-11,446.5,448.9,442.0,447.75,70520.0,0.0
2005-05-12,452.95,454.0,444.15,452.25,584184.0,0.0
2005-05-13,451.0,452.0,445.25,447.4,356560.0,0.0
2005-05-16,443.1,449.0,438.25,442.9,781864.0,0.0
2005-05-17,434.0,447.0,434.0,436.7,329088.0,0.0
2005-05-18,436.0,438.25,428.0,429.5,603176.0,0.0
2005-05-19,432.0,441.75,432.0,439.75,350768.0,0.0
2005-05-20,445.0,452.0,442.95,448.35,470600.0,0.0
2005-05-23,454.0,461.0,452.0,458.6,412552.0,0.0
2005-05-24,463.8,463.8,453.25,459.0,303792.0,0.0
2005-05-25,426.0,460.0,426.0,456.05,680744.0,0.0
2005-05-26,450.0,457.65,450.0,454.65,304000.0,0.0
2005-05-27,454.0,470.85,452.1,460.95,703400.0,0.0
2005-05-30,460.75,470.0,453.3,460.7,1565792.0,0.0
2005-05-31,465.4,465.4,461.4,463.4,229904.0,0.0
2005-06-01,465.0,468.0,460.0,463.45,123048.0,0.0
2005-06-02,469.0,473.0,460.1,461.35,196832.0,0.0
2005-06-03,463.0,464.9,440.0,461.55,341304.0,0.0
2005-06-06,463.95,463.95,457.0,458.9,208632.0,0.0
2005-06-07,460.0,461.45,455.05,458.85,574808.0,0.0
2005-06-08,442.1,462.0,442.1,458.65,265360.0,0.0
2005-06-09,452.05,465.0,452.05,457.5,225640.0,0.0
2005-06-10,460.0,460.0,452.0,453.3,44336.0,0.0
2005-06-13,473.0,473.0,451.1,453.6,64736.0,0.0
2005-06-14,450.05,453.75,447.55,450.6,155248.0,0.0
2005-06-15,450.0,452.0,445.0,450.05,468872.0,0.0
