Date,Actual Price,Predicted Price
2018-04-09,179.6,169.34747
2018-04-10,179.3,170.3931
2018-04-11,167.8,171.60204
2018-04-12,168.35,169.97145
2018-04-13,165.3,168.1074
2018-04-16,165.0,166.00676
2018-04-17,167.15,164.39238
2018-04-18,164.95,163.90495
2018-04-19,158.35,163.48457
2018-04-20,160.55,161.80238
2018-04-23,161.65,160.67819
2018-04-24,163.2,160.26433
2018-04-25,160.5,160.54692
2018-04-26,160.95,160.41061
2018-04-27,162.7,160.2853
2018-04-30,162.3,160.57008
2018-05-02,160.95,160.82524
2018-05-03,162.1,160.71378
2018-05-04,161.7,160.7598
2018-05-07,164.25,160.75095
2018-05-08,166.6,161.28757
2018-05-09,167.1,162.38725
2018-05-10,168.1,163.52078
2018-05-11,169.4,164.6196
2018-05-14,168.75,165.73082
2018-05-15,167.35,166.43285
2018-05-16,166.2,166.52629
2018-05-17,164.75,166.15207
2018-05-18,163.8,165.4059
2018-05-21,165.3,164.52628
2018-05-22,161.55,164.16556
2018-05-23,153.65,163.24236
2018-05-24,156.1,160.65318
2018-05-25,163.6,158.70937
2018-05-28,170.35,159.05421
2018-05-29,171.95,161.53795
2018-05-30,171.5,164.49388
2018-05-31,174.05,166.79407
2018-06-01,173.4,168.87363
2018-06-04,173.7,170.19504
2018-06-05,173.95,171.00032
2018-06-06,175.2,171.48845
2018-06-07,174.85,172.04294
2018-06-08,176.5,172.41524
2018-06-11,173.9,173.0374
2018-06-12,174.8,173.00975
2018-06-13,175.0,173.01642
2018-06-14,172.05,173.09001
2018-06-15,168.1,172.51057
2018-06-18,174.05,170.99097
2018-06-19,169.25,170.91345
2018-06-20,166.1,170.21362
2018-06-21,170.2,168.80724
2018-06-22,170.4,168.44626
2018-06-25,167.25,168.53384
2018-06-26,166.55,168.03712
2018-06-27,156.25,167.31761
2018-06-28,154.25,164.39197
2018-06-29,155.95,161.05843
2018-07-02,154.3,158.75607
2018-07-03,155.4,156.97096
2018-07-04,155.3,156.0236
2018-07-05,155.15,155.54001
2018-07-06,156.6,155.27599
2018-07-09,157.4,155.43532
2018-07-10,155.4,155.83911
2018-07-11,155.15,155.77316
2018-07-12,156.85,155.4967
2018-07-13,159.3,155.55951
2018-07-16,157.35,156.23013
2018-07-17,164.05,156.51611
2018-07-18,166.75,158.05975
2018-07-19,165.75,160.22998
2018-07-20,160.95,161.8824
2018-07-23,162.25,161.92375
2018-07-24,164.9,161.72072
2018-07-25,163.2,162.06335
2018-07-26,158.9,162.14172
2018-07-27,165.1,161.20172
2018-07-30,166.35,161.5376
2018-07-31,164.45,162.48267
2018-08-01,168.0,163.0055
2018-08-02,168.75,164.06451
2018-08-03,168.65,165.20358
2018-08-06,168.1,166.07637
2018-08-07,166.55,166.52936
2018-08-08,165.75,166.39006
2018-08-09,165.4,165.91814
2018-08-10,166.5,165.3796
2018-08-13,160.65,165.2023
2018-08-14,160.6,163.89575
2018-08-16,158.55,162.55588
2018-08-17,159.6,161.07625
2018-08-20,158.85,160.1464
2018-08-21,157.8,159.45195
2018-08-23,153.55,158.7742
2018-08-24,154.25,157.33864
2018-08-27,156.05,156.1466
2018-08-28,155.6,155.68214
2018-08-29,156.5,155.45436
2018-08-30,154.6,155.54297
2018-08-31,155.65,155.29028
2018-09-03,155.15,155.19891
2018-09-04,152.55,155.05533
2018-09-05,152.8,154.36331
2018-09-06,153.65,153.70332
2018-09-07,153.65,153.38022
2018-09-10,150.55,153.24106
2018-09-11,150.6,152.53874
2018-09-12,149.25,151.83124
2018-09-14,155.1,150.99693
2018-09-17,156.5,151.55136
2018-09-18,152.6,152.72566
2018-09-19,153.4,153.01035
2018-09-21,157.35,153.1064
2018-09-24,154.7,153.94225
2018-09-25,153.55,154.25407
2018-09-26,154.45,154.08403
2018-09-27,152.65,153.98509
2018-09-28,153.2,153.54967
2018-10-01,153.8,153.2327
2018-10-03,157.5,153.16061
2018-10-04,140.85,153.98062
2018-10-05,118.05,151.37677
2018-10-08,124.7,143.61353
2018-10-09,122.4,137.39568
2018-10-10,124.30000000000001,132.61882
2018-10-11,131.0,129.79271
2018-10-12,133.6,129.55305
2018-10-15,134.95,130.73924
2018-10-16,135.5,132.39497
2018-10-17,132.3,133.91153
2018-10-19,133.0,134.35905
2018-10-22,129.85,134.43062
2018-10-23,130.0,133.69514
2018-10-24,137.2,132.85793
2018-10-25,138.7,133.57466
2018-10-26,137.1,134.96677
2018-10-29,141.2,135.98303
2018-10-30,136.5,137.4708
2018-10-31,138.05,137.85115
2018-11-01,141.35,138.09077
2018-11-02,148.2,138.89296
2018-11-05,140.05,141.10522
2018-11-06,136.9,141.67041
2018-11-09,141.75,140.93822
2018-11-12,135.25,140.91362
2018-11-13,141.3,139.829
2018-11-14,145.4,139.87585
2018-11-15,146.95,141.1294
2018-11-16,143.4,142.84744
2018-11-19,142.75,143.6234
2018-11-20,139.1,143.7743
2018-11-21,141.55,142.92738
2018-11-22,138.3,142.43607
2018-11-26,137.45,141.51395
2018-11-27,138.25,140.49811
2018-11-28,134.0,139.84557
2018-11-29,134.8,138.61214
2018-11-30,133.6,137.62802
2018-12-03,132.95,136.70241
2018-12-04,135.2,135.87247
2018-12-05,134.3,135.6991
2018-12-06,130.35,135.59792
2018-12-07,129.55,134.7543
2018-12-10,134.0,133.67722
2018-12-11,132.3,133.61688
2018-12-12,136.45,133.57013
2018-12-13,137.2,134.35481
2018-12-14,141.45,135.38919
2018-12-17,142.45,137.12231
2018-12-18,144.6,138.90428
2018-12-19,146.05,140.73715
2018-12-20,147.8,142.46706
2018-12-21,139.7,144.13062
2018-12-24,135.05,143.7436
2018-12-26,134.7,141.828
2018-12-27,134.05,139.7765
2018-12-28,137.65,138.03171
2018-12-31,137.1,137.52934
2019-01-01,137.65,137.47142
2019-01-02,137.2,137.70671
2019-01-03,132.5,137.90094
2019-01-04,133.6,137.09409
2019-01-07,133.4,136.339
2019-01-08,134.0,135.71254
2019-01-09,131.8,135.38095
