date,open,high,low,close,volume,dividend_amount
2005-01-03,513.093,518.557,509.481,514.297,92080.0,0.0
2005-01-04,514.945,514.945,486.234,491.467,713290.0,0.0
2005-01-05,500.126,504.479,480.445,493.875,402720.0,0.0
2005-01-06,493.643,493.643,468.637,473.638,521450.0,0.0
2005-01-07,476.972,481.511,464.932,470.165,454210.0,0.0
2005-01-10,468.637,486.049,461.32,462.71,1013820.0,0.0
2005-01-11,462.154,463.034,430.525,439.37,845890.0,0.0
2005-01-12,452.892,452.892,424.181,429.321,683690.0,0.0
2005-01-13,426.126,446.27,426.126,433.443,319120.0,0.0
2005-01-14,436.221,436.221,409.363,416.17,950270.0,0.0
2005-01-17,417.883,421.403,401.953,409.826,283680.0,0.0
2005-01-18,413.947,436.407,413.947,430.479,459560.0,0.0
2005-01-19,435.295,447.15,425.987,426.867,381440.0,0.0
2005-01-20,422.329,431.498,421.403,427.932,234690.0,0.0
2005-01-24,444.557,444.557,430.896,433.304,164930.0,0.0
2005-01-25,421.403,439.926,421.403,437.009,179550.0,0.0
2005-01-27,442.704,442.704,422.329,425.756,404420.0,0.0
2005-01-28,437.148,459.375,431.683,452.846,835820.0,0.0
2005-01-31,456.597,476.972,449.188,459.283,1575510.0,0.0
2005-02-01,462.987,465.858,455.671,459.514,1817010.0,0.0
2005-02-02,464.932,464.932,445.529,452.661,616920.0,0.0
2005-02-03,457.43,461.413,447.335,451.781,180830.0,0.0
2005-02-04,453.865,458.449,451.04,455.254,172190.0,0.0
2005-02-07,460.209,460.302,452.522,459.236,150150.0,0.0
2005-02-08,460.765,463.034,451.966,455.717,230350.0,0.0
2005-02-09,456.597,461.089,451.596,457.106,78630.0,0.0
2005-02-10,459.838,459.838,453.818,456.087,76920.0,0.0
2005-02-11,460.302,462.895,453.818,461.274,130320.0,0.0
2005-02-14,463.08,471.415,457.523,462.802,130660.0,0.0
2005-02-15,456.689,460.302,453.818,454.42,56980.0,0.0
2005-02-16,458.449,461.228,453.402,454.096,169940.0,0.0
2005-02-17,452.892,455.671,449.188,451.92,194830.0,0.0
2005-02-18,451.966,452.059,436.221,438.49,131280.0,0.0
2005-02-21,449.188,449.188,430.664,434.137,204730.0,0.0
2005-02-22,432.517,438.074,427.979,436.129,171490.0,0.0
2005-02-23,436.221,443.631,434.508,438.722,182190.0,0.0
2005-02-24,442.427,459.098,439.926,448.493,23283940.0,0.0
2005-02-25,449.188,457.986,439.926,442.01,3727500.0,0.0
2005-02-28,443.816,449.188,438.074,442.936,127080.0,0.0
2005-03-01,443.631,450.067,439.092,448.817,226860.0,0.0
2005-03-02,452.846,452.892,437.611,444.881,384020.0,0.0
2005-03-03,448.261,451.966,446.455,449.002,477290.0,0.0
2005-03-04,449.095,451.04,444.696,448.956,906540.0,0.0
2005-03-07,453.818,453.818,448.261,449.002,458320.0,0.0
2005-03-08,453.818,453.818,445.159,449.141,358580.0,0.0
2005-03-09,449.188,458.449,445.946,451.781,417130.0,0.0
2005-03-10,450.253,456.319,444.557,451.596,414060.0,0.0
2005-03-11,455.578,455.578,449.188,449.975,230950.0,0.0
2005-03-14,453.818,453.818,446.409,449.743,342350.0,0.0
2005-03-15,451.04,455.671,447.798,453.494,128320.0,0.0
2005-03-16,449.373,452.846,448.215,449.141,189340.0,0.0
2005-03-17,448.261,451.503,439.926,445.437,144740.0,0.0
2005-03-18,438.259,448.261,438.259,446.872,207190.0,0.0
2005-03-21,446.27,446.27,440.389,443.075,150270.0,0.0
2005-03-22,440.852,447.335,439.926,445.39,266990.0,0.0
2005-03-23,444.557,445.483,437.148,441.084,135780.0,0.0
2005-03-24,439.926,444.51,430.85,434.832,273860.0,0.0
2005-03-28,438.537,438.537,430.664,432.424,195780.0,0.0
2005-03-29,433.443,441.778,433.443,440.111,255810.0,0.0
2005-03-30,449.188,449.188,427.886,434.369,234610.0,0.0
2005-03-31,439.88,439.926,433.952,436.592,90130.0,0.0
2005-04-01,439.926,439.926,426.034,431.868,1901630.0,0.0
2005-04-04,435.295,439.926,430.664,436.407,209090.0,0.0
2005-04-05,439.926,439.926,430.664,431.452,49500.0,0.0
2005-04-06,435.295,435.295,427.052,429.044,50170.0,0.0
2005-04-07,428.812,433.443,426.034,426.636,355780.0,0.0
2005-04-08,429.646,430.572,426.034,426.728,62680.0,0.0
2005-04-11,427.886,429.275,426.034,426.126,50100.0,0.0
2005-04-12,426.96,430.201,426.034,427.099,55140.0,0.0
2005-04-13,433.443,435.249,426.173,428.766,78830.0,0.0
2005-04-15,418.346,429.646,418.346,426.913,61140.0,0.0
2005-04-18,416.818,429.692,415.846,427.238,90650.0,0.0
2005-04-19,428.256,431.961,426.96,428.627,128830.0,0.0
2005-04-20,428.858,439.833,427.886,438.12,393050.0,0.0
2005-04-21,435.295,454.745,435.295,451.503,169100.0,0.0
2005-04-22,450.114,461.228,445.483,460.116,2161980.0,0.0
2005-04-25,459.375,459.375,449.28,452.985,589030.0,0.0
2005-04-26,452.892,452.892,450.114,450.901,32380.0,0.0
2005-04-27,452.8,453.726,445.992,448.678,143120.0,0.0
2005-04-28,421.495,484.752,421.495,471.74,350630.0,0.0
2005-04-29,472.342,474.194,455.671,463.404,315660.0,0.0
2005-05-02,463.08,467.618,459.375,459.792,266430.0,0.0
2005-05-03,460.302,467.711,458.125,464.793,162350.0,0.0
2005-05-04,464.006,464.006,453.818,455.208,48080.0,0.0
2005-05-05,458.449,463.914,454.281,457.384,115410.0,0.0
2005-05-06,458.449,458.588,453.818,458.125,50530.0,0.0
2005-05-09,453.818,475.768,447.567,468.452,441540.0,0.0
2005-05-10,466.785,467.618,459.375,465.395,83200.0,0.0
2005-05-11,462.432,464.006,455.671,458.125,28140.0,0.0
2005-05-12,458.171,469.424,457.523,466.599,71360.0,0.0
2005-05-13,467.479,470.952,459.375,469.378,96040.0,0.0
2005-05-16,469.656,471.508,467.803,470.721,76270.0,0.0
2005-05-17,475.12,475.12,465.905,472.342,66830.0,0.0
2005-05-18,463.08,476.046,463.08,474.24,77910.0,0.0
2005-05-19,475.12,475.12,471.832,473.129,39520.0,0.0
2005-05-20,475.12,476.926,471.832,474.379,70780.0,0.0
2005-05-23,474.24,484.243,472.481,476.093,292670.0,0.0
2005-05-24,477.899,493.597,476.972,492.069,334830.0,0.0
2005-05-25,495.403,509.388,489.568,505.406,477740.0,0.0
2005-05-26,504.572,517.955,502.21,510.268,878910.0,0.0
2005-05-27,509.388,509.388,500.219,502.72,252040.0,0.0
2005-05-30,504.757,511.24,492.763,495.773,188910.0,0.0
2005-05-31,495.496,495.496,486.234,486.604,62080.0,0.0
2005-06-01,486.604,498.274,483.919,492.393,504340.0,0.0
2005-06-02,491.513,500.034,490.865,497.904,263480.0,0.0
2005-06-03,492.717,502.905,490.911,501.191,188750.0,0.0
2005-06-06,514.019,515.871,503.831,512.537,581380.0,0.0
2005-06-07,512.166,518.557,506.146,515.778,215270.0,0.0
2005-06-08,514.945,514.945,508.508,512.722,789160.0,0.0
2005-06-09,510.314,512.074,504.757,505.081,89920.0,0.0
